episode,train_makespan,train_reward,actor_loss,critic_loss,entropy_loss,eval_makespan,eval_reward,jains_index,task_load_variance,current_lr,exploration_epsilon,total_random_actions,exploration_phase
40,171.2635105794339,-172.95540753110916,0.10541391652077436,3084.3309936523438,2.426612615585327,,,0.993103448275862,0.15999999999999998,8e-05,0.24,258,early
41,162.94782315744257,-160.47431503276948,0.07799480389803648,2592.5015258789062,2.6052882075309753,,,0.993103448275862,0.15999999999999998,8.2e-05,0.24,265,early
42,159.27021163563313,-156.46741528272716,0.1053067035973072,2221.8173828125,2.407989501953125,,,0.976271186440678,0.5599999999999999,8.4e-05,0.24,271,early
43,176.04524014898774,-177.96542348291194,0.09858104214072227,2545.0526733398438,2.588514029979706,,,0.993103448275862,0.15999999999999998,8.6e-05,0.24,278,early
44,163.77826779593312,-161.9265035319797,0.3274800665676594,3316.417724609375,2.4767144918441772,,,0.993103448275862,0.15999999999999998,8.800000000000001e-05,0.24,282,early
45,184.53094809319447,-188.40039980608046,0.39228104799985886,3456.16796875,2.539649724960327,,,0.976271186440678,0.5599999999999999,9e-05,0.24,286,early
46,165.6262471111911,-163.547683406462,0.2358344178646803,3005.1846313476562,2.5408151149749756,,,0.993103448275862,0.15999999999999998,9.200000000000001e-05,0.24,292,early
47,178.84914147499254,-181.37964040407667,0.4325640872120857,3357.5089111328125,2.4703216552734375,,,0.993103448275862,0.15999999999999998,9.4e-05,0.24,297,early
48,157.02023203592793,-151.5560963492725,0.26430205069482327,2607.333740234375,2.4636619687080383,,,0.976271186440678,0.5599999999999999,9.6e-05,0.24,305,early
49,179.76188193814988,-181.26239727072524,0.2073888909071684,3947.421875,2.459487497806549,,,0.976271186440678,0.5599999999999999,9.8e-05,0.24,311,early
50,188.9012769390602,-194.23706097537715,0.15379483811557293,4085.432373046875,2.5161160230636597,181.03155415664997,-183.6931650419506,0.976271186440678,0.5599999999999999,0.0001,0.24,319,early
51,178.4321317122839,-180.53868633103366,0.2908204160630703,3750.1806640625,2.4261938333511353,,,0.976271186440678,0.5599999999999999,0.00010200000000000001,0.24,323,early
52,174.75433371795566,-175.21473110062072,0.15331266075372696,3067.092041015625,2.4895288348197937,,,0.993103448275862,0.15999999999999998,0.00010400000000000001,0.24,327,early
53,156.36673635515598,-151.7894412143529,0.06597726512700319,2834.6118774414062,2.457934319972992,,,0.993103448275862,0.15999999999999998,0.00010600000000000002,0.24,332,early
54,162.15603855497977,-160.09586909378993,0.2119764443486929,2507.87353515625,2.5263847708702087,,,0.993103448275862,0.15999999999999998,0.00010800000000000001,0.24,334,early
55,167.56514090618555,-166.47951232792514,0.1953856498003006,2742.889404296875,2.4996248483657837,,,0.976271186440678,0.5599999999999999,0.00011000000000000002,0.24,340,early
56,184.10959384765988,-186.6860918713306,0.060595908551476896,2938.5601196289062,2.546169102191925,,,0.976271186440678,0.5599999999999999,0.00011200000000000001,0.24,346,early
57,185.97585011918028,-188.86179635702058,0.10892191529273987,4066.430419921875,2.509065568447113,,,0.976271186440678,0.5599999999999999,0.00011399999999999999,0.24,352,early
58,159.32937842731485,-156.5205945476933,0.12316824309527874,2223.2476806640625,2.5397870540618896,,,0.976271186440678,0.5599999999999999,0.000116,0.24,357,early
59,191.11598718696231,-197.1038923431315,0.19551784917712212,4290.0400390625,2.4774569869041443,,,0.993103448275862,0.15999999999999998,0.000118,0.24,364,early
60,173.375508884129,-174.20386920672385,0.16041112318634987,2914.18505859375,2.551672101020813,,,0.993103448275862,0.15999999999999998,0.00012,0.24,368,early
61,178.54234380154418,-178.8983317269873,0.11539343185722828,3235.6253662109375,2.613380253314972,,,0.976271186440678,0.5599999999999999,0.000122,0.24,375,early
62,175.08683029717764,-177.87608384551365,0.08737743832170963,1833.4852600097656,2.6624560356140137,,,0.993103448275862,0.15999999999999998,0.000124,0.24,384,early
63,176.25322695536516,-176.99158654034693,0.199220459908247,3207.56787109375,2.4440996050834656,,,0.993103448275862,0.15999999999999998,0.000126,0.24,392,early
64,178.92877142164124,-180.6786545616437,0.28650349751114845,3733.5567626953125,2.5195246934890747,,,0.976271186440678,0.5599999999999999,0.00012800000000000002,0.24,398,early
65,160.0127939129111,-156.6369088396275,0.14710431545972824,2722.1217651367188,2.448228597640991,,,0.993103448275862,0.15999999999999998,0.00013000000000000002,0.24,403,early
66,168.48243857075056,-168.4073923455148,0.120639992877841,3001.06396484375,2.482821822166443,,,0.976271186440678,0.5599999999999999,0.000132,0.24,408,early
67,167.0341854832347,-166.23330115826676,0.11053464561700821,2898.86474609375,2.509606659412384,,,0.993103448275862,0.15999999999999998,0.000134,0.24,412,early
68,158.35154888312627,-155.6339372917906,0.07752828486263752,2601.6500244140625,2.4573552012443542,,,0.993103448275862,0.15999999999999998,0.00013600000000000003,0.24,420,early
69,153.66780677709247,-148.92745394374498,0.2589631788432598,2604.4614868164062,2.491611361503601,,,0.993103448275862,0.15999999999999998,0.000138,0.24,430,early
70,166.053644898543,-163.3452442332202,0.2498590126633644,3118.8297729492188,2.589220941066742,,,0.976271186440678,0.5599999999999999,0.00014,0.24,436,early
71,171.2867403951914,-171.70124582739126,0.11483670398592949,3123.003662109375,2.4806666374206543,,,0.96,0.96,0.000142,0.24,436,early
72,178.3755431075721,-181.12788563954052,0.07420331798493862,3481.0302734375,2.5210800170898438,,,0.976271186440678,0.5599999999999999,0.000144,0.24,446,early
73,159.22021247149027,-155.76645895858246,0.0636251624673605,2461.3432006835938,2.5504581928253174,,,0.993103448275862,0.15999999999999998,0.000146,0.24,457,early
74,176.543884545636,-178.78090666080374,0.02007055189460516,3479.7061157226562,2.495909035205841,,,0.993103448275862,0.15999999999999998,0.000148,0.24,463,early
75,165.9361176007442,-162.46345018015674,0.125392260029912,2791.5703125,2.642967939376831,174.69114438243156,-175.90981667949976,0.976271186440678,0.5599999999999999,0.00015000000000000001,0.24,471,early
76,171.94089413528468,-172.20736481068798,0.11832811497151852,2624.78759765625,2.5734152793884277,,,0.976271186440678,0.5599999999999999,0.000152,0.24,479,early
77,184.50695873620745,-188.5693786843457,0.012886090204119682,3531.5855102539062,2.492362380027771,,,0.993103448275862,0.15999999999999998,0.000154,0.24,490,early
78,175.4253358893747,-177.08841954229905,0.02890552021563053,3223.5464477539062,2.5679385662078857,,,0.96,0.96,0.00015600000000000002,0.24,495,early
79,171.48306426514188,-170.02979487962443,0.05884929373860359,2876.243896484375,2.519842207431793,,,0.976271186440678,0.5599999999999999,0.00015800000000000002,0.24,500,early
80,157.434259955737,-153.45761466341884,0.19177782535552979,2485.1812744140625,2.5386255383491516,,,0.976271186440678,0.5599999999999999,0.00016,0.24,504,early
81,177.53787022375855,-180.241364795332,0.12134052254259586,3333.3734741210938,2.5231308341026306,,,0.993103448275862,0.15999999999999998,0.000162,0.24,508,early
82,151.61977144765575,-145.704779238828,0.18981793033890426,1993.78955078125,2.5260483026504517,,,0.976271186440678,0.5599999999999999,0.000164,0.24,512,early
83,151.16542160641214,-144.65353985811214,0.1728011630475521,2168.1337890625,2.461823523044586,,,0.976271186440678,0.5599999999999999,0.000166,0.24,517,early
84,176.43053882467692,-178.22849583108993,0.0635065350215882,3379.026123046875,2.498230278491974,,,0.976271186440678,0.5599999999999999,0.000168,0.24,523,early
85,166.6239975596075,-163.97609317159666,0.1308225579559803,2760.439208984375,2.637531816959381,,,0.993103448275862,0.15999999999999998,0.00017,0.24,529,early
86,145.2489937672762,-136.54430580390522,0.1443791138008237,1981.3269653320312,2.620664656162262,,,0.993103448275862,0.15999999999999998,0.000172,0.24,535,early
87,158.85118603734708,-155.25547200632937,0.07531320303678513,2101.1027221679688,2.6282320618629456,,,0.993103448275862,0.15999999999999998,0.000174,0.24,544,early
88,170.51744609408883,-169.22637714570067,0.13162062969058752,3219.658935546875,2.5019866824150085,,,0.976271186440678,0.5599999999999999,0.00017600000000000002,0.24,553,early
89,176.85459989561124,-178.4251649116791,0.03400721773505211,2514.8064575195312,2.598217010498047,,,0.976271186440678,0.5599999999999999,0.00017800000000000002,0.24,558,early
90,163.15827551186774,-161.10512008854374,0.08986555691808462,2846.23193359375,2.522816836833954,,,0.993103448275862,0.15999999999999998,0.00018,0.24,562,early
91,189.86826887141567,-194.64103459722315,0.14353519305586815,4044.0931396484375,2.518347918987274,,,0.993103448275862,0.15999999999999998,0.000182,0.24,569,early
92,171.83635425208385,-172.57854931954205,0.06874490529298782,3124.59228515625,2.472843110561371,,,0.993103448275862,0.15999999999999998,0.00018400000000000003,0.24,575,early
93,179.8079695572048,-182.70200795741297,0.07856929628178477,3371.837890625,2.5085803270339966,,,0.976271186440678,0.5599999999999999,0.00018600000000000002,0.24,579,early
94,158.81962296313597,-154.74250128591683,0.11924950685352087,2353.5289916992188,2.498485267162323,,,0.976271186440678,0.5599999999999999,0.000188,0.24,584,early
95,169.80182745576695,-169.38116571614555,-0.024832306778989732,2488.5303344726562,2.637437105178833,,,0.993103448275862,0.15999999999999998,0.00019,0.24,590,early
96,187.62239399748645,-191.4033783468264,0.053447878919541836,4297.64404296875,2.4892091751098633,,,0.976271186440678,0.5599999999999999,0.000192,0.24,596,early
97,192.71740860525273,-198.42892444319074,0.034666495164856315,4162.666015625,2.658137083053589,,,0.993103448275862,0.15999999999999998,0.000194,0.24,599,early
98,194.07800127638282,-201.62254730170343,0.03676259214989841,4181.873046875,2.680636942386627,,,0.993103448275862,0.15999999999999998,0.000196,0.24,604,early
99,179.86885058916573,-181.6546718187433,0.11233410984277725,3736.8276977539062,2.4961146116256714,,,0.976271186440678,0.5599999999999999,0.00019800000000000002,0.24,610,early
100,175.77060855821912,-177.6820376284099,0.02627776376903057,3039.3735961914062,2.542997717857361,166.86266874572758,-165.64608157206868,0.993103448275862,0.15999999999999998,0.0002,0.24,616,early
101,161.00672022623627,-159.1641761096902,0.05419075349345803,2047.7826538085938,2.659264087677002,,,0.993103448275862,0.15999999999999998,0.00021,0.24,624,early
102,174.3956823929909,-175.58586155372677,0.08263589441776276,3821.9019775390625,2.5057064294815063,,,0.993103448275862,0.15999999999999998,0.00021,0.24,628,early
103,179.4974529797862,-180.48412202642328,0.115493796300143,4180.583984375,2.562855362892151,,,0.993103448275862,0.15999999999999998,0.00021,0.24,635,early
104,194.42152263927284,-201.57635444729164,0.03852517530322075,4400.3865966796875,2.623837888240814,,,0.976271186440678,0.5599999999999999,0.00021,0.24,644,early
105,177.37749921272177,-179.31714711563566,-0.014711149968206882,3474.144287109375,2.568236827850342,,,0.993103448275862,0.15999999999999998,0.00021,0.24,653,early
106,149.63390081140778,-143.52595192199158,0.08651719521731138,1760.18017578125,2.586911916732788,,,0.993103448275862,0.15999999999999998,0.00022050000000000002,0.24,659,early
107,161.1620736977473,-158.62772549454857,0.13552255649119616,2698.29541015625,2.490597188472748,,,0.993103448275862,0.15999999999999998,0.00022050000000000002,0.24,663,early
108,158.35877687853142,-154.79124814792183,-0.020418308675289154,2383.1700439453125,2.624649465084076,,,0.993103448275862,0.15999999999999998,0.00022050000000000002,0.24,669,early
109,167.8997407053495,-166.19596212231832,0.0294552225022926,2258.30419921875,2.5730533599853516,,,0.976271186440678,0.5599999999999999,0.00022050000000000002,0.24,676,early
110,153.2426591332223,-147.41406199340327,0.10227736365050077,1681.2473754882812,2.6779950857162476,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,678,early
111,162.52220049705508,-160.24952746929173,0.036489579593762755,2633.6038818359375,2.5137312412261963,,,0.96,0.96,0.00023152500000000003,0.24,686,early
112,195.8881026478638,-202.89514575634445,0.03972804779186845,4792.3740234375,2.539660394191742,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,690,early
113,190.88087314895913,-196.47273592372656,-0.016653297934681177,4087.8509521484375,2.589662253856659,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,692,early
114,161.97660667420416,-160.0357934351802,0.07106238603591919,2498.9969482421875,2.5194201469421387,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,697,early
115,176.16891878116698,-178.01339265297955,0.08812133222818375,3329.9091796875,2.517934203147888,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,701,early
116,175.38139151432057,-177.334772322162,0.10937047377228737,3412.08984375,2.5189666748046875,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,707,early
117,178.5393404826272,-180.538233043454,0.019041980849578977,2670.542236328125,2.6728610396385193,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,709,early
